date,open,high,low,close,volume,adjclose
2021-05-27 13:00:04,126.44000244140625,127.63999938964844,125.27999877929688,125.27999877929688,86473226,125.27999877929688
2021-05-26 06:30:00,126.95999908447266,127.38999938964844,126.41999816894531,126.8499984741211,56496100,126.8499984741211
2021-05-25 06:30:00,127.81999969482422,128.32000732421875,126.31999969482422,126.9000015258789,72009500,126.9000015258789
2021-05-24 06:30:00,126.01000213623047,127.94000244140625,125.94000244140625,127.0999984741211,63092900,127.0999984741211
2021-05-21 06:30:00,127.81999969482422,128,125.20999908447266,125.43000030517578,79209300,125.43000030517578
2021-05-20 06:30:00,125.2300033569336,127.72000122070312,125.0999984741211,127.30999755859375,76857100,127.30999755859375
2021-05-19 06:30:00,123.16000366210938,124.91999816894531,122.86000061035156,124.69000244140625,92612000,124.69000244140625
2021-05-18 06:30:00,126.55999755859375,126.98999786376953,124.77999877929688,124.8499984741211,63342900,124.8499984741211
2021-05-17 06:30:00,126.81999969482422,126.93000030517578,125.16999816894531,126.2699966430664,74244600,126.2699966430664
2021-05-14 06:30:00,126.25,127.88999938964844,125.8499984741211,127.44999694824219,81806500,127.44999694824219
2021-05-13 06:30:00,124.58000183105469,126.1500015258789,124.26000213623047,124.97000122070312,105861300,124.97000122070312
2021-05-12 06:30:00,123.4000015258789,124.63999938964844,122.25,122.7699966430664,112172300,122.7699966430664
2021-05-11 06:30:00,123.5,126.2699966430664,122.7699966430664,125.91000366210938,126142800,125.91000366210938
2021-05-10 06:30:00,129.41000366210938,129.5399932861328,126.80999755859375,126.8499984741211,88071200,126.8499984741211
2021-05-07 06:30:00,130.85000610351562,131.25999450683594,129.47999572753906,130.2100067138672,78892700,130.2100067138672
2021-05-06 06:30:00,127.88999938964844,129.75,127.12999725341797,129.74000549316406,78128300,129.52000427246094
2021-05-05 06:30:00,129.1999969482422,130.4499969482422,127.97000122070312,128.10000610351562,84000900,127.8827896118164
2021-05-04 06:30:00,131.19000244140625,131.49000549316406,126.69999694824219,127.8499984741211,137564700,127.6332015991211
2021-05-03 06:30:00,132.0399932861328,134.07000732421875,131.8300018310547,132.5399932861328,75135100,132.31524658203125
2021-04-30 06:30:00,131.77999877929688,133.55999755859375,131.07000732421875,131.4600067138672,109713200,131.23709106445312
2021-04-29 06:30:00,136.47000122070312,137.07000732421875,132.4499969482422,133.47999572753906,151101000,133.253662109375
2021-04-28 06:30:00,134.30999755859375,135.02000427246094,133.0800018310547,133.5800018310547,107760100,133.35348510742188
2021-04-27 06:30:00,135.00999450683594,135.41000366210938,134.11000061035156,134.38999938964844,66015800,134.162109375
2021-04-26 06:30:00,134.8300018310547,135.05999755859375,133.55999755859375,134.72000122070312,66905100,134.49156188964844
2021-04-23 06:30:00,132.16000366210938,135.1199951171875,132.16000366210938,134.32000732421875,78657500,134.0922393798828
2021-04-22 06:30:00,133.0399932861328,134.14999389648438,131.41000366210938,131.94000244140625,84566500,131.71627807617188
2021-04-21 06:30:00,132.36000061035156,133.75,131.3000030517578,133.5,68847100,133.27362060546875
2021-04-20 06:30:00,135.02000427246094,135.52999877929688,131.80999755859375,133.11000061035156,94812300,132.88429260253906
2021-04-19 06:30:00,133.50999450683594,135.47000122070312,133.33999633789062,134.83999633789062,94264200,134.61134338378906
2021-04-16 06:30:00,134.3000030517578,134.6699981689453,133.27999877929688,134.16000366210938,84922400,133.93251037597656
2021-04-15 06:30:00,133.82000732421875,135,133.63999938964844,134.5,89347100,134.2719268798828
2021-04-14 06:30:00,134.94000244140625,135,131.66000366210938,132.02999877929688,87222800,131.80612182617188
2021-04-13 06:30:00,132.44000244140625,134.66000366210938,131.92999267578125,134.42999267578125,91266500,134.20204162597656
2021-04-12 06:30:00,132.52000427246094,132.85000610351562,130.6300048828125,131.24000549316406,91420000,131.0174560546875
2021-04-09 06:30:00,129.8000030517578,133.0399932861328,129.47000122070312,133,106686700,132.77447509765625
2021-04-08 06:30:00,128.9499969482422,130.38999938964844,128.52000427246094,130.36000061035156,88844600,130.13894653320312
2021-04-07 06:30:00,125.83000183105469,127.91999816894531,125.13999938964844,127.9000015258789,83466700,127.68312072753906
2021-04-06 06:30:00,126.5,127.12999725341797,125.6500015258789,126.20999908447266,80171300,125.99598693847656
2021-04-05 06:30:00,123.87000274658203,126.16000366210938,123.06999969482422,125.9000015258789,88651200,125.68651580810547
2021-04-01 06:30:00,123.66000366210938,124.18000030517578,122.48999786376953,123,75089100,122.79142761230469
2021-03-31 06:30:00,121.6500015258789,123.5199966430664,121.1500015258789,122.1500015258789,118323800,121.94287109375
2021-03-30 06:30:00,120.11000061035156,120.4000015258789,118.86000061035156,119.9000015258789,85671900,119.69668579101562
2021-03-29 06:30:00,121.6500015258789,122.58000183105469,120.7300033569336,121.38999938964844,80819200,121.18415832519531
2021-03-26 06:30:00,120.3499984741211,121.4800033569336,118.91999816894531,121.20999908447266,94071200,121.00446319580078
2021-03-25 06:30:00,119.54000091552734,121.66000366210938,119,120.58999633789062,98844700,120.38551330566406
2021-03-24 06:30:00,122.81999969482422,122.9000015258789,120.06999969482422,120.08999633789062,88530500,119.88636016845703
2021-03-23 06:30:00,123.33000183105469,124.23999786376953,122.13999938964844,122.54000091552734,95467100,122.33221435546875
2021-03-22 06:30:00,120.33000183105469,123.87000274658203,120.26000213623047,123.38999938964844,111912300,123.18077087402344
2021-03-19 06:30:00,119.9000015258789,121.43000030517578,119.68000030517578,119.98999786376953,185549500,119.78652954101562
2021-03-18 06:30:00,122.87999725341797,123.18000030517578,120.31999969482422,120.52999877929688,121229700,120.32561492919922
2021-03-17 06:30:00,124.05000305175781,125.86000061035156,122.33999633789062,124.76000213623047,111932600,124.54844665527344
2021-03-16 06:30:00,125.69999694824219,127.22000122070312,124.72000122070312,125.56999969482422,115227900,125.35707092285156
2021-03-15 06:30:00,121.41000366210938,124,120.41999816894531,123.98999786376953,92403800,123.77974700927734
2021-03-12 06:30:00,120.4000015258789,121.16999816894531,119.16000366210938,121.02999877929688,88105100,120.82476806640625
2021-03-11 06:30:00,122.54000091552734,123.20999908447266,121.26000213623047,121.95999908447266,103026500,121.75318908691406
2021-03-10 06:30:00,121.69000244140625,122.16999816894531,119.44999694824219,119.9800033569336,111943300,119.77655792236328
